ORDERID	ORDERCREATEDBY	ORDERCREATEDON	CUSTOMERID	RESTAURANTID	ADDRESSID	TotalQuantity	TotalGrossAmount	TotalNetAmount	TaxAmount	PAYMENTMETHOD	DeliveryType	DeliveryRate	BillAmount	PAYMENTMETHOD	FOODRATING	SERVICERATING	OVERALLRATING
5000006373	EMP13133	27.05.19	C163924	RE10232	CA108839	6	66	57.750	8.250	Cash	FlatRate	07. May	73.5	Cash	3	1	2
5000006374	EMP12373	27.05.19	C116510	RE10472	CA102463	7	135	118.125	16.875	Card	Free	0	135	Card	1	2	1,5
5000006375	EMP14358	27.05.19	C173504	RE10457	CA103848	3	24	21.000	3.000	Card	FlatRate	5	29	Card	5	3	4
5000006376	EMP13376	27.05.19	C191790	RE10475	CA103858	3	84	73.500	10.500	Cash	Free	0	84	Cash	2	4	3
5000006377	EMP11064	28.05.19	C172229	RE10163	CA106413	4	77	67.375	9.625	Cash	FlatRate	07. May	84.5	Cash	2	4	3
5000006378	EMP13472	28.05.19	C170410	RE10571	CA102415	1	20	17.500	2.500	Card	Free	0	20	Card	2	2	2
5000006379	EMP14193	28.05.19	C141186	RE10292	CA108338	5	102	89.250	12.750	Card	Free	0	102	Card	3	5	4
5000006380	EMP14367	28.05.19	C101499	RE10466	CA106656	8	214	187.250	26.750	Cash	FlatRate	5	219	Cash	4	2	3
5000006381	EMP14088	28.05.19	C162764	RE10187	CA106691	1	5	4.375	0.625	Card	FlatRate	07. May	12. May	Card	2	2	2
5000006382	EMP13346	28.05.19	C160432	RE10445	CA102655	5	60	52.500	7.500	Card	FlatRate	07. May	67.5	Card	5	5	5
5000006383	EMP11289	28.05.19	C172960	RE10388	CA106492	6	156	136.500	19.500	Cash	FlatRate	07. May	163.5	Cash	5	3	4
5000006384	EMP13058	28.05.19	C132917	RE10157	CA103324	4	81	70.875	10.125	Card	Free	0	81	Card	1	1	1
5000006385	EMP11475	28.05.19	C185280	RE10574	CA101119	2	54	47.250	6.750	Cash	FlatRate	07. May	61.5	Cash	4	3	3,5
5000006386	EMP13070	28.05.19	C160528	RE10169	CA101920	4	48	42.000	6.000	Cash	Free	0	48	Cash	1	5	3
5000006387	EMP11382	28.05.19	C114619	RE10481	CA109124	4	107	93.625	13.375	Cash	Free	0	107	Cash	4	5	4,5
5000006388	EMP13478	28.05.19	C177970	RE10577	CA106782	7	102	89.250	12.750	Card	FlatRate	07. May	109.5	Card	5	5	5
5000006389	EMP13070	28.05.19	C177676	RE10169	CA109965	3	15	13.125	1.875	Card	Free	0	15	Card	3	2	2,5
5000006390	EMP13382	28.05.19	C108103	RE10481	CA105808	3	51	44.625	6.375	Cash	Free	0	51	Cash	1	2	1,5
5000006391	EMP12298	28.05.19	C127245	RE10397	CA101912	6	92	80.500	11.500	Card	FlatRate	10	102	Card	3	3	3
5000006392	EMP13361	28.05.19	C187109	RE10460	CA100260	3	30	26.250	3.750	Card	Free	0	30	Card	5	5	5
5000006393	EMP13367	28.05.19	C140203	RE10466	CA107635	5	109	95.375	13.625	Card	FlatRate	5	114	Card	2	2	2
5000006394	EMP11004	28.05.19	C147351	RE10103	CA103238	1	21	18.375	2.625	Card	FlatRate	5	26	Card	3	4	3,5
5000006395	EMP14388	28.05.19	C117110	RE10487	CA107138	2	46	40.250	5.750	Card	Free	0	46	Card	1	4	2,5
5000006396	EMP13382	28.05.19	C162053	RE10481	CA105087	3	69	60.375	8.625	Card	Free	0	69	Card	1	4	2,5
5000006397	EMP13466	28.05.19	C170179	RE10565	CA104385	6	30	26.250	3.750	Card	FlatRate	07. May	37.5	Card	5	3	4
5000006398	EMP13271	28.05.19	C131266	RE10370	CA103607	6	78	68.250	9.750	Card	Free	0	78	Card	1	3	2
5000006399	EMP14058	28.05.19	C101670	RE10157	CA105535	6	100	87.500	12.500	Cash	Free	0	100	Cash	1	1	1
5000006400	EMP13139	28.05.19	C126921	RE10238	CA108067	2	43	37.625	5.375	Cash	Free	0	43	Cash	2	2	2
5000006401	EMP11184	28.05.19	C186986	RE10283	CA101339	3	39	34.125	4.875	Card	FlatRate	5	44	Card	3	4	3,5
5000006402	EMP13406	28.05.19	C116051	RE10505	CA108879	5	145	126.875	18.125	Card	FlatRate	5	150	Card	1	1	1
5000006403	EMP12373	28.05.19	C131934	RE10472	CA101602	7	142	124.250	17.750	Card	Free	0	142	Card	5	2	3,5
5000006404	EMP14475	28.05.19	C116306	RE10574	CA107305	5	120	105.000	15.000	Card	FlatRate	07. May	127.5	Card	5	5	5
5000006405	EMP11475	28.05.19	C104837	RE10574	CA109897	5	124	108.500	15.500	Card	FlatRate	07. May	131.5	Card	3	1	2
5000006406	EMP12454	28.05.19	C128496	RE10553	CA103345	5	88	77.000	11.000	Cash	Free	0	88	Cash	1	5	3
5000006407	EMP12010	28.05.19	C131155	RE10109	CA103267	6	104	91.000	13.000	Cash	Free	0	104	Cash	5	5	5
5000006408	EMP13259	28.05.19	C129981	RE10358	CA101382	5	108	94.500	13.500	Cash	Free	0	108	Cash	5	5	5
5000006409	EMP14295	28.05.19	C118544	RE10394	CA100926	3	42	36.750	5.250	Cash	Free	0	42	Cash	4	5	4,5
5000006410	EMP11256	28.05.19	C133019	RE10355	CA108413	4	100	87.500	12.500	Card	Free	0	100	Card	4	4	4
5000006411	EMP12256	28.05.19	C128030	RE10355	CA109367	1	13	11.375	1.625	Card	Free	0	13	Card	3	4	3,5
5000006412	EMP13046	28.05.19	C133236	RE10145	CA107151	6	96	84.000	12.000	Cash	Free	0	96	Cash	2	2	2
5000006413	EMP11202	28.05.19	C111188	RE10301	CA101709	3	39	34.125	4.875	Cash	FlatRate	5	44	Cash	2	5	3,5
5000006414	EMP13058	28.05.19	C153871	RE10157	CA101756	3	69	60.375	8.625	Card	Free	0	69	Card	4	1	2,5
5000006415	EMP13376	28.05.19	C199311	RE10475	CA104150	6	129	112.875	16.125	Cash	Free	0	129	Cash	4	1	2,5
5000006416	EMP12304	28.05.19	C122046	RE10403	CA101351	3	82	71.750	10.250	Cash	FlatRate	07. May	89.5	Cash	5	3	4
5000006417	EMP13058	28.05.19	C115947	RE10157	CA106800	1	12	10.500	1.500	Card	Free	0	12	Card	4	1	2,5
5000006418	EMP12202	28.05.19	C180915	RE10301	CA109244	4	52	45.500	6.500	Cash	FlatRate	5	57	Cash	3	4	3,5
5000006419	EMP14010	28.05.19	C134459	RE10109	CA104709	2	40	35.000	5.000	Cash	Free	0	40	Cash	2	5	3,5
5000006420	EMP11160	28.05.19	C179629	RE10259	CA102694	5	30	26.250	3.750	Card	Free	0	30	Card	2	3	2,5
5000006421	EMP14073	28.05.19	C165378	RE10172	CA103036	6	78	68.250	9.750	Cash	FlatRate	10	88	Cash	4	2	3
5000006422	EMP11382	28.05.19	C152750	RE10481	CA101345	2	58	50.750	7.250	Card	Free	0	58	Card	1	5	3
5000006423	EMP11376	28.05.19	C136173	RE10475	CA103977	2	48	42.000	6.000	Card	Free	0	48	Card	3	3	3
5000006424	EMP14205	28.05.19	C110374	RE10304	CA100681	1	29	25.375	3.625	Card	FlatRate	07. May	36.5	Card	3	5	4
5000006425	EMP13046	29.05.19	C186986	RE10145	CA101339	2	30	26.250	3.750	Card	Free	0	30	Card	5	1	3
5000006426	EMP14358	29.05.19	C156723	RE10457	CA107000	1	7	6.125	0.875	Card	FlatRate	5	12	Card	2	2	2
5000006427	EMP11460	29.05.19	C195085	RE10559	CA107013	4	74	64.750	9.250	Card	Free	0	74	Card	1	3	2
5000006428	EMP13046	29.05.19	C116375	RE10145	CA103490	5	36	31.500	4.500	Card	Free	0	36	Card	2	1	1,5
5000006429	EMP11142	29.05.19	C180261	RE10241	CA107457	1	22	19.250	2.750	Card	Free	0	22	Card	2	3	2,5
5000006430	EMP14274	29.05.19	C192759	RE10373	CA104035	5	48	42.000	6.000	Cash	FlatRate	10	58	Cash	5	2	3,5
5000006431	EMP14091	29.05.19	C144536	RE10190	CA109107	4	23	20.125	2.875	Card	Free	0	23	Card	5	1	3
5000006432	EMP11010	29.05.19	C164993	RE10109	CA102944	1	14	12.250	1.750	Card	Free	0	14	Card	1	3	2
5000006433	EMP12007	29.05.19	C129375	RE10106	CA103580	1	26	22.750	3.250	Card	Free	0	26	Card	2	3	2,5
5000006434	EMP12073	29.05.19	C122862	RE10172	CA100379	1	17	14.875	2.125	Cash	FlatRate	10	27	Cash	3	3	3
5000006435	EMP13475	29.05.19	C122928	RE10574	CA101493	3	66	57.750	8.250	Card	FlatRate	07. May	73.5	Card	5	3	4
5000006436	EMP13100	29.05.19	C118976	RE10199	CA101782	2	24	21.000	3.000	Card	Free	0	24	Card	3	3	3
5000006437	EMP13157	29.05.19	C115013	RE10256	CA106921	4	58	50.750	7.250	Cash	FlatRate	10	68	Cash	4	5	4,5
5000006438	EMP12049	29.05.19	C165772	RE10148	CA101567	1	9	7.875	1.125	Card	Free	0	9	Card	1	1	1
5000006439	EMP14274	29.05.19	C133019	RE10373	CA108413	7	93	81.375	11.625	Cash	FlatRate	10	103	Cash	2	3	2,5
5000006440	EMP13058	29.05.19	C105880	RE10157	CA101205	4	74	64.750	9.250	Card	Free	0	74	Card	2	3	2,5
5000006441	EMP14262	29.05.19	C129146	RE10361	CA101978	2	43	37.625	5.375	Cash	FlatRate	07. May	50.5	Cash	4	2	3
5000006442	EMP11172	29.05.19	C184696	RE10271	CA109180	2	12	10.500	1.500	Cash	Free	0	12	Cash	1	5	3
5000006443	EMP14181	29.05.19	C123704	RE10280	CA105993	5	82	71.750	10.250	Card	Free	0	82	Card	3	5	4
5000006444	EMP12139	29.05.19	C117110	RE10238	CA107138	9	168	147.000	21.000	Cash	Free	0	168	Cash	2	1	1,5
5000006445	EMP11130	29.05.19	C120784	RE10229	CA104381	1	5	4.375	0.625	Card	Free	0	5	Card	4	4	4
5000006446	EMP12352	29.05.19	C160528	RE10451	CA101920	3	61	53.375	7.625	Card	Free	0	61	Card	2	2	2
5000006447	EMP11274	29.05.19	C179577	RE10373	CA107473	4	72	63.000	9.000	Card	FlatRate	10	82	Card	1	4	2,5
5000006448	EMP12070	29.05.19	C183082	RE10169	CA108128	5	60	52.500	7.500	Cash	Free	0	60	Cash	3	2	2,5
5000006449	EMP14193	29.05.19	C151506	RE10292	CA101761	3	54	47.250	6.750	Card	Free	0	54	Card	2	2	2
5000006450	EMP13217	29.05.19	C126921	RE10316	CA108067	7	105	91.875	13.125	Card	FlatRate	5	110	Card	4	3	3,5
5000006451	EMP14274	29.05.19	C192759	RE10373	CA104035	7	96	84.000	12.000	Card	FlatRate	10	106	Card	2	5	3,5
5000006452	EMP14076	29.05.19	C122522	RE10175	CA102895	5	38	33.250	4.750	Card	FlatRate	07. May	45.5	Card	1	4	2,5
5000006453	EMP13010	29.05.19	C154352	RE10109	CA104120	2	48	42.000	6.000	Cash	Free	0	48	Cash	3	1	2
5000006454	EMP12220	29.05.19	C163705	RE10319	CA104362	1	24	21.000	3.000	Card	Free	0	24	Card	4	1	2,5
5000006455	EMP14010	29.05.19	C158457	RE10109	CA105529	2	40	35.000	5.000	Card	Free	0	40	Card	1	1	1
5000006456	EMP12073	29.05.19	C154136	RE10172	CA100667	5	65	56.875	8.125	Card	FlatRate	10	75	Card	2	4	3
5000006457	EMP14394	29.05.19	C170179	RE10493	CA104385	1	14	12.250	1.750	Card	Free	0	14	Card	2	1	1,5
5000006458	EMP14421	29.05.19	C158722	RE10520	CA108421	3	21	18.375	2.625	Card	Free	0	21	Card	5	3	4
5000006459	EMP12076	29.05.19	C121358	RE10175	CA106010	2	16	14.000	2.000	Card	FlatRate	07. May	23. May	Card	5	4	4,5
5000006460	EMP11046	29.05.19	C175477	RE10145	CA103912	7	69	60.375	8.625	Cash	Free	0	69	Cash	2	4	3
5000006461	EMP14007	29.05.19	C174733	RE10106	CA107010	4	47	41.125	5.875	Card	Free	0	47	Card	4	3	3,5
5000006462	EMP14367	29.05.19	C122046	RE10466	CA101351	3	87	76.125	10.875	Card	FlatRate	5	92	Card	5	1	3
5000006463	EMP11283	29.05.19	C186613	RE10382	CA107708	4	53	46.375	6.625	Card	Free	0	53	Card	3	1	2
5000006464	EMP13274	29.05.19	C160639	RE10373	CA108613	4	70	61.250	8.750	Cash	FlatRate	10	80	Cash	4	1	2,5
5000006465	EMP13073	29.05.19	C156723	RE10172	CA107000	2	26	22.750	3.250	Card	FlatRate	10	36	Card	2	5	3,5
5000006466	EMP11325	29.05.19	C151506	RE10424	CA101761	3	72	63.000	9.000	Cash	FlatRate	07. May	79.5	Cash	1	2	1,5
5000006467	EMP11070	29.05.19	C103579	RE10169	CA101978	2	24	21.000	3.000	Card	Free	0	24	Card	4	5	4,5
5000006468	EMP11295	29.05.19	C145467	RE10394	CA106663	4	56	49.000	7.000	Cash	Free	0	56	Cash	2	5	3,5
5000006469	EMP12217	29.05.19	C162299	RE10316	CA105396	3	60	52.500	7.500	Cash	FlatRate	5	65	Cash	1	4	2,5
5000006470	EMP12007	29.05.19	C128030	RE10106	CA109367	7	140	122.500	17.500	Card	Free	0	140	Card	5	4	4,5
5000006471	EMP13010	29.05.19	C164578	RE10109	CA107427	6	108	94.500	13.500	Cash	Free	0	108	Cash	4	1	2,5
5000006472	EMP14109	29.05.19	C143850	RE10208	CA108749	5	76	66.500	9.500	Cash	Free	0	76	Cash	1	5	3
5000006473	EMP12493	30.05.19	C125981	RE10592	CA106739	3	81	70.875	10.125	Card	Free	0	81	Card	1	2	1,5
5000006474	EMP14058	30.05.19	C143749	RE10157	CA101211	4	89	77.875	11.125	Card	Free	0	89	Card	3	3	3
5000006475	EMP11466	30.05.19	C137897	RE10565	CA107171	3	39	34.125	4.875	Card	FlatRate	07. May	46.5	Card	1	1	1
5000006476	EMP13292	30.05.19	C156809	RE10391	CA109006	5	107	93.625	13.375	Cash	Free	0	107	Cash	2	4	3
5000006477	EMP11211	30.05.19	C170691	RE10310	CA102217	3	75	65.625	9.375	Card	Free	0	75	Card	3	5	4
5000006478	EMP14475	30.05.19	C144565	RE10574	CA109640	2	47	41.125	5.875	Card	FlatRate	07. May	54.5	Card	2	2	2
5000006479	EMP12460	30.05.19	C179444	RE10559	CA102391	4	88	77.000	11.000	Card	Free	0	88	Card	1	2	1,5
5000006480	EMP13349	30.05.19	C186207	RE10448	CA100724	6	145	126.875	18.125	Card	Free	0	145	Card	1	1	1
5000006481	EMP12466	30.05.19	C121957	RE10565	CA106192	5	61	53.375	7.625	Card	FlatRate	07. May	68.5	Card	1	2	1,5
5000006482	EMP14125	30.05.19	C149090	RE10224	CA102023	7	91	79.625	11.375	Cash	FlatRate	5	96	Cash	3	3	3
5000006483	EMP11088	30.05.19	C194232	RE10187	CA102438	2	10	8.750	1.250	Card	FlatRate	07. May	17. May	Card	3	3	3
5000006484	EMP14196	30.05.19	C155316	RE10295	CA106224	3	63	55.125	7.875	Cash	Free	0	63	Cash	4	5	4,5
5000006485	EMP13181	30.05.19	C109677	RE10280	CA106064	8	146	127.750	18.250	Card	Free	0	146	Card	2	2	2
5000006486	EMP11466	30.05.19	C139056	RE10565	CA103675	7	118	103.250	14.750	Card	FlatRate	07. May	125.5	Card	2	4	3
5000006487	EMP12418	30.05.19	C105580	RE10517	CA105783	6	91	79.625	11.375	Card	FlatRate	5	96	Card	1	2	1,5
5000006488	EMP13253	30.05.19	C140471	RE10352	CA101556	2	20	17.500	2.500	Card	Free	0	20	Card	1	2	1,5
5000006489	EMP14046	30.05.19	C131934	RE10145	CA101602	5	75	65.625	9.375	Card	Free	0	75	Card	4	3	3,5
5000006490	EMP12349	30.05.19	C163705	RE10448	CA104362	7	80	70.000	10.000	Card	Free	0	80	Card	2	3	2,5
5000006491	EMP12070	30.05.19	C167992	RE10169	CA108341	5	39	34.125	4.875	Card	Free	0	39	Card	2	5	3,5
5000006492	EMP12343	30.05.19	C115868	RE10442	CA105739	1	12	10.500	1.500	Card	FlatRate	5	17	Card	1	3	2
5000006493	EMP11139	30.05.19	C185280	RE10238	CA101119	7	161	140.875	20.125	Card	Free	0	161	Card	3	4	3,5
5000006494	EMP12010	30.05.19	C122928	RE10109	CA101493	5	76	66.500	9.500	Card	Free	0	76	Card	4	3	3,5
5000006495	EMP12475	30.05.19	C141142	RE10574	CA101235	5	113	98.875	14.125	Cash	FlatRate	07. May	120.5	Cash	4	2	3
5000006496	EMP12058	30.05.19	C134450	RE10157	CA109366	4	81	70.875	10.125	Card	Free	0	81	Card	1	5	3
5000006497	EMP13376	30.05.19	C155014	RE10475	CA104893	6	116	101.500	14.500	Card	Free	0	116	Card	4	5	4,5
5000006498	EMP13367	30.05.19	C176150	RE10466	CA105855	5	97	84.875	12.125	Card	FlatRate	5	102	Card	2	4	3
5000006499	EMP12256	30.05.19	C133368	RE10355	CA105895	2	26	22.750	3.250	Card	Free	0	26	Card	5	4	4,5
5000006500	EMP11322	30.05.19	C116306	RE10421	CA107305	4	46	40.250	5.750	Card	FlatRate	5	51	Card	5	3	4
5000006501	EMP11475	30.05.19	C183545	RE10574	CA103403	1	25	21.875	3.125	Card	FlatRate	07. May	32.5	Card	1	4	2,5
5000006502	EMP14418	30.05.19	C167682	RE10517	CA103018	1	5	4.375	0.625	Card	FlatRate	5	10	Card	5	1	3
5000006503	EMP13109	30.05.19	C129708	RE10208	CA109197	1	21	18.375	2.625	Card	Free	0	21	Card	4	5	4,5
5000006504	EMP12349	30.05.19	C151506	RE10448	CA101761	2	24	21.000	3.000	Card	Free	0	24	Card	5	4	4,5
5000006505	EMP12091	30.05.19	C134589	RE10190	CA108051	6	53	46.375	6.625	Cash	Free	0	53	Cash	2	4	3
5000006506	EMP13403	30.05.19	C123405	RE10502	CA107795	7	117	102.375	14.625	Card	FlatRate	5	122	Card	1	2	1,5
5000006507	EMP11076	30.05.19	C181443	RE10175	CA106871	2	24	21.000	3.000	Card	FlatRate	07. May	31. May	Card	1	1	1
5000006508	EMP14343	30.05.19	C173876	RE10442	CA105899	2	24	21.000	3.000	Cash	FlatRate	5	29	Cash	4	3	3,5
5000006509	EMP13475	30.05.19	C182274	RE10574	CA102851	1	27	23.625	3.375	Card	FlatRate	07. May	34.5	Card	3	2	2,5
5000006510	EMP14244	30.05.19	C122858	RE10343	CA105209	2	40	35.000	5.000	Cash	FlatRate	5	45	Cash	2	3	2,5
5000006511	EMP11256	30.05.19	C186656	RE10355	CA106731	2	30	26.250	3.750	Card	Free	0	30	Card	5	2	3,5
5000006512	EMP14478	30.05.19	C143850	RE10577	CA108749	2	36	31.500	4.500	Card	FlatRate	07. May	43.5	Card	2	5	3,5
5000006513	EMP11376	30.05.19	C160528	RE10475	CA101920	3	58	50.750	7.250	Card	Free	0	58	Card	2	4	3
5000006514	EMP11256	30.05.19	C199960	RE10355	CA104222	3	84	73.500	10.500	Cash	Free	0	84	Cash	2	2	2
5000006515	EMP13487	30.05.19	C115879	RE10586	CA101660	3	33	28.875	4.125	Card	FlatRate	07. May	40.5	Card	2	4	3
5000006516	EMP12070	30.05.19	C198842	RE10169	CA104375	1	12	10.500	1.500	Cash	Free	0	12	Cash	3	1	2
5000006517	EMP14253	31.05.19	C189123	RE10352	CA106658	4	43	37.625	5.375	Cash	Free	0	43	Cash	1	4	2,5
5000006518	EMP12466	31.05.19	C119444	RE10565	CA108478	4	72	63.000	9.000	Cash	FlatRate	07. May	79.5	Cash	1	4	2,5
5000006519	EMP13328	31.05.19	C132561	RE10427	CA103209	8	144	126.000	18.000	Card	Free	0	144	Card	3	2	2,5
5000006520	EMP11436	31.05.19	C120594	RE10535	CA101748	3	62	54.250	7.750	Cash	Free	0	62	Cash	5	5	5
5000006521	EMP14142	31.05.19	C111940	RE10241	CA106114	5	77	67.375	9.625	Card	Free	0	77	Card	2	1	1,5
5000006522	EMP13115	31.05.19	C114619	RE10214	CA109124	3	78	68.250	9.750	Cash	Free	0	78	Cash	5	2	3,5
5000006523	EMP12298	31.05.19	C129708	RE10397	CA109197	4	71	62.125	8.875	Card	FlatRate	10	81	Card	3	4	3,5
5000006524	EMP14250	31.05.19	C137382	RE10349	CA106598	2	16	14.000	2.000	Card	Free	0	16	Card	2	1	1,5
5000006525	EMP12451	31.05.19	C135226	RE10550	CA109451	1	21	18.375	2.625	Card	Free	0	21	Card	1	1	1
5000006526	EMP14343	31.05.19	C152251	RE10442	CA104764	3	36	31.500	4.500	Card	FlatRate	5	41	Card	3	5	4
5000006527	EMP11178	31.05.19	C121545	RE10277	CA100835	5	95	83.125	11.875	Card	FlatRate	07. May	102.5	Card	3	1	2
5000006528	EMP11328	31.05.19	C162640	RE10427	CA107551	2	36	31.500	4.500	Cash	Free	0	36	Cash	3	1	2
5000006529	EMP13256	31.05.19	C126300	RE10355	CA109268	3	50	43.750	6.250	Cash	Free	0	50	Cash	3	3	3
5000006530	EMP11373	31.05.19	C170545	RE10472	CA102778	3	48	42.000	6.000	Card	Free	0	48	Card	5	4	4,5
5000006531	EMP12484	31.05.19	C158722	RE10583	CA108421	5	118	103.250	14.750	Cash	FlatRate	10	128	Cash	5	4	4,5
5000006532	EMP11052	31.05.19	C194232	RE10151	CA102438	2	14	12.250	1.750	Cash	Free	0	14	Cash	2	1	1,5
5000006533	EMP14007	31.05.19	C109677	RE10106	CA106064	5	82	71.750	10.250	Cash	Free	0	82	Cash	2	2	2
5000006534	EMP11256	31.05.19	C122928	RE10355	CA101493	5	95	83.125	11.875	Cash	Free	0	95	Cash	5	2	3,5
5000006535	EMP11274	31.05.19	C171453	RE10373	CA105344	4	49	42.875	6.125	Card	FlatRate	10	59	Card	2	1	1,5
5000006536	EMP11340	31.05.19	C130864	RE10439	CA104918	3	75	65.625	9.375	Card	Free	0	75	Card	3	1	2
5000006537	EMP12070	31.05.19	C160432	RE10169	CA102655	5	60	52.500	7.500	Card	Free	0	60	Card	2	2	2
5000006538	EMP13274	31.05.19	C102712	RE10373	CA102203	5	57	49.875	7.125	Card	FlatRate	10	67	Card	3	4	3,5
5000006539	EMP12058	31.05.19	C182621	RE10157	CA101801	3	42	36.750	5.250	Card	Free	0	42	Card	2	5	3,5
5000006540	EMP13376	31.05.19	C176887	RE10475	CA100974	5	140	122.500	17.500	Card	Free	0	140	Card	1	4	2,5
5000006541	EMP14184	31.05.19	C163479	RE10283	CA103628	5	75	65.625	9.375	Card	FlatRate	5	80	Card	4	2	3
5000006542	EMP12010	31.05.19	C106879	RE10109	CA102369	3	48	42.000	6.000	Card	Free	0	48	Card	2	2	2
5000006543	EMP13046	31.05.19	C186613	RE10145	CA107708	6	71	62.125	8.875	Cash	Free	0	71	Cash	2	5	3,5
5000006544	EMP12340	31.05.19	C198842	RE10439	CA104375	6	90	78.750	11.250	Card	Free	0	90	Card	4	5	4,5
5000006545	EMP14118	31.05.19	C129708	RE10217	CA109197	1	19	16.625	2.375	Cash	Free	0	19	Cash	1	3	2
5000006546	EMP11220	31.05.19	C152750	RE10319	CA101345	2	53	46.375	6.625	Card	Free	0	53	Card	2	4	3
5000006547	EMP12469	31.05.19	C131057	RE10568	CA106961	4	106	92.750	13.250	Cash	Free	0	106	Cash	1	3	2
5000006548	EMP14274	31.05.19	C152236	RE10373	CA109459	9	153	133.875	19.125	Card	FlatRate	10	163	Card	5	4	4,5
5000006549	EMP12196	31.05.19	C128496	RE10295	CA103345	8	153	133.875	19.125	Card	Free	0	153	Card	5	4	4,5
5000006550	EMP13385	31.05.19	C118544	RE10484	CA100926	4	88	77.000	11.000	Card	FlatRate	07. May	95.5	Card	5	3	4
5000006551	EMP13070	31.05.19	C198392	RE10169	CA102684	6	102	89.250	12.750	Card	Free	0	102	Card	1	1	1
5000006552	EMP13019	31.05.19	C172608	RE10118	CA104451	1	25	21.875	3.125	Card	Free	0	25	Card	4	2	3
5000006553	EMP11448	31.05.19	C128553	RE10547	CA108198	3	18	15.750	2.250	Cash	Free	0	18	Cash	4	2	3
5000006554	EMP13181	31.05.19	C114580	RE10280	CA109550	4	66	57.750	8.250	Card	Free	0	66	Card	1	3	2
5000006555	EMP11139	31.05.19	C131057	RE10238	CA106961	9	144	126.000	18.000	Card	Free	0	144	Card	3	4	3,5
5000006556	EMP13382	31.05.19	C145726	RE10481	CA109918	4	77	67.375	9.625	Card	Free	0	77	Card	3	5	4
5000006557	EMP12016	31.05.19	C112445	RE10115	CA104416	2	44	38.500	5.500	Cash	FlatRate	5	49	Cash	3	2	2,5
5000006558	EMP13478	31.05.19	C117002	RE10577	CA108030	3	24	21.000	3.000	Card	FlatRate	07. May	31. May	Card	3	5	4
5000006559	EMP13046	31.05.19	C116900	RE10145	CA106271	2	32	28.000	4.000	Card	Free	0	32	Card	4	4	4
5000006560	EMP13202	31.05.19	C162764	RE10301	CA106691	6	115	100.625	14.375	Card	FlatRate	5	120	Card	3	1	2
5000006561	EMP13202	31.05.19	C173030	RE10301	CA105786	2	31	27.125	3.875	Card	FlatRate	5	36	Card	3	4	3,5
5000006562	EMP12070	31.05.19	C183082	RE10169	CA108128	4	42	36.750	5.250	Cash	Free	0	42	Cash	4	1	2,5
5000006563	EMP13307	31.05.19	C162299	RE10406	CA105396	6	126	110.250	15.750	Cash	Free	0	126	Cash	2	5	3,5
5000006564	EMP13122	01.06.19	C169435	RE10221	CA109966	2	17	14.875	2.125	Card	Free	0	17	Card	1	4	2,5
5000006565	EMP14251	01.06.19	C193735	RE10350	CA107028	3	56	49.000	7.000	Card	Free	0	56	Card	5	2	3,5
5000006566	EMP12071	01.06.19	C122858	RE10170	CA105209	2	10	8.750	1.250	Cash	Free	0	10	Cash	3	5	4
5000006567	EMP11281	01.06.19	C163924	RE10380	CA108839	2	45	39.375	5.625	Card	Free	0	45	Card	3	5	4
5000006568	EMP12401	01.06.19	C183109	RE10500	CA102348	3	87	76.125	10.875	Card	Free	0	87	Card	3	1	2
5000006569	EMP13392	01.06.19	C150173	RE10491	CA109238	6	106	92.750	13.250	Cash	Free	0	106	Cash	5	3	4
5000006570	EMP11473	01.06.19	C138983	RE10572	CA100575	7	163	142.625	20.375	Cash	Free	0	163	Cash	4	5	4,5
5000006571	EMP14377	01.06.19	C160803	RE10476	CA101182	1	22	19.250	2.750	Card	Free	0	22	Card	5	2	3,5
5000006572	EMP14071	01.06.19	C137897	RE10170	CA107171	3	30	26.250	3.750	Card	Free	0	30	Card	1	4	2,5
5000006573	EMP12002	01.06.19	C112430	RE10101	CA104039	3	58	50.750	7.250	Cash	Free	0	58	Cash	2	4	3
5000006574	EMP12332	01.06.19	C192338	RE10431	CA108152	8	142	124.250	17.750	Card	Free	0	142	Card	2	3	2,5
5000006575	EMP12116	01.06.19	C128170	RE10215	CA100649	6	174	152.250	21.750	Card	FlatRate	07. May	181.5	Card	4	4	4
5000006576	EMP13272	01.06.19	C150759	RE10371	CA107830	6	83	72.625	10.375	Card	Free	0	83	Card	1	4	2,5
5000006577	EMP11110	01.06.19	C162285	RE10209	CA109506	6	50	43.750	6.250	Card	Free	0	50	Card	1	4	2,5
5000006578	EMP13170	01.06.19	C180261	RE10269	CA107457	1	5	4.375	0.625	Card	Free	0	5	Card	1	3	2
5000006579	EMP13275	01.06.19	C131266	RE10374	CA103607	4	57	49.875	7.125	Card	Free	0	57	Card	5	3	4
5000006580	EMP11278	01.06.19	C196038	RE10377	CA102866	2	18	15.750	2.250	Card	FlatRate	5	23	Card	5	3	4
5000006581	EMP13395	01.06.19	C170545	RE10494	CA102778	6	95	83.125	11.875	Card	FlatRate	10	105	Card	4	2	3
5000006582	EMP12170	01.06.19	C121358	RE10269	CA106010	2	18	15.750	2.250	Cash	Free	0	18	Cash	1	5	3
5000006583	EMP11332	01.06.19	C178026	RE10431	CA105748	1	8	7.000	1.000	Cash	Free	0	8	Cash	3	1	2
