"SALESORDERID","CREATEDBY","CREATEDAT","CHANGEDBY","CHANGEDAT","FISCVARIANT","FISCALYEARPERIOD","NOTEID","PARTNERID","SALESORG","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","LIFECYCLESTATUS","BILLINGSTATUS","DELIVERYSTATUS"
"0500000916","0000000017","2017-04-08","0000000017","2017-04-09","K4","2017004","","100000036","EMEA","USD",17388.00,15456.00,1932.00,"","","C"
"0500000917","0000000018","2017-04-08","0000000018","2017-04-10","K4","2017004","","100000029","EMEA","USD",120574.11,107177.00,13397.11,"","","C"
"0500000918","0000000023","2017-04-08","0000000023","2017-04-11","K4","2017004","","100000037","EMEA","USD",147777.73,131358.00,16419.73,"","","C"
"0500000919","0000000003","2017-04-09","0000000003","2017-04-12","K4","2017004","","100000011","EMEA","USD",127779.74,113582.00,14197.74,"","","C"
"0500000920","0000000020","2017-04-09","0000000020","2017-04-12","K4","2017004","","100000028","EMEA","USD",19428.74,17270.00,2158.74,"","","C"
"0500000921","0000000004","2017-04-10","0000000004","2017-04-13","K4","2017004","","100000017","APJ","USD",128748.35,114443.00,14305.35,"","","C"
"0500000922","0000000027","2017-04-11","0000000027","2017-04-14","K4","2017004","","100000016","APJ","USD",37862.99,33656.00,4206.99,"","","C"
"0500000923","0000000023","2017-04-12","0000000023","2017-04-15","K4","2017004","","100000039","EMEA","USD",86629.49,77004.00,9625.49,"","","C"
"0500000924","0000000022","2017-04-12","0000000022","2017-04-13","K4","2017004","","100000012","EMEA","USD",60833.24,54074.00,6759.24,"","","C"
"0500000925","0000000011","2017-04-13","0000000011","2017-04-14","K4","2017004","","100000031","AMER","USD",70523.99,62688.00,7835.99,"","","C"
"0500000926","0000000020","2017-04-13","0000000020","2017-04-15","K4","2017004","","100000026","EMEA","USD",92684.23,82386.00,10298.23,"","","C"
"0500000927","0000000023","2017-04-14","0000000023","2017-04-15","K4","2017004","","100000009","EMEA","USD",103973.61,92421.00,11552.61,"","","C"
"0500000928","0000000017","2017-04-15","0000000017","2017-04-16","K4","2017004","","100000005","EMEA","USD",62414.99,55480.00,6934.99,"","","C"
"0500000929","0000000003","2017-04-15","0000000003","2017-04-17","K4","2017004","","100000012","EMEA","USD",103972.49,92420.00,11552.49,"","","C"
"0500000930","0000000020","2017-04-15","0000000020","2017-04-18","K4","2017004","","100000011","EMEA","USD",212497.86,188887.00,23610.86,"","","C"
"0500000931","0000000010","2017-04-16","0000000010","2017-04-18","K4","2017004","","100000033","AMER","USD",93008.25,82674.00,10334.25,"","","C"
"0500000932","0000000020","2017-04-16","0000000020","2017-04-19","K4","2017004","","100000007","EMEA","USD",35075.25,31178.00,3897.25,"","","C"
"0500000933","0000000022","2017-04-17","0000000022","2017-04-19","K4","2017004","","100000012","EMEA","USD",118757.22,105562.00,13195.22,"","","C"
"0500000934","0000000027","2017-04-18","0000000027","2017-04-20","K4","2017004","","100000023","APJ","USD",131741.99,117104.00,14637.99,"","","C"
"0500000935","0000000018","2017-04-19","0000000018","2017-04-22","K4","2017004","","100000029","EMEA","USD",128887.87,114567.00,14320.87,"","","C"
"0500000936","0000000015","2017-04-19","0000000015","2017-04-22","K4","2017004","","100000039","EMEA","USD",24602.61,21869.00,2733.61,"","","C"
"0500000937","0000000015","2017-04-19","0000000015","2017-04-21","K4","2017004","","100000009","EMEA","USD",128242.11,113993.00,14249.11,"","","C"
"0500000938","0000000025","2017-04-20","0000000025","2017-04-23","K4","2017004","","100000017","APJ","USD",75931.87,67495.00,8436.87,"","","C"
"0500000939","0000000026","2017-04-21","0000000026","2017-04-23","K4","2017004","","100000022","APJ","USD",158889.35,141235.00,17654.35,"","","C"
"0500000940","0000000020","2017-04-22","0000000020","2017-04-25","K4","2017004","","100000012","EMEA","USD",5395.50,4796.00,599.50,"","","C"
"0500000941","0000000020","2017-04-23","0000000020","2017-04-25","K4","2017004","","100000006","EMEA","USD",35135.99,31232.00,3903.99,"","","C"
"0500000942","0000000018","2017-04-23","0000000018","2017-04-24","K4","2017004","","100000014","EMEA","USD",55457.99,49296.00,6161.99,"","","C"
"0500000943","0000000019","2017-04-24","0000000019","2017-04-25","K4","2017004","","100000036","EMEA","USD",28197.00,25064.00,3133.00,"","","C"
"0500000944","0000000023","2017-04-24","0000000023","2017-04-27","K4","2017004","","100000014","EMEA","USD",111540.36,99147.00,12393.36,"","","C"
"0500000945","0000000007","2017-04-25","0000000007","2017-04-27","K4","2017004","","100000001","AMER","USD",84824.98,75400.00,9424.98,"","","C"
"0500000946","0000000020","2017-04-26","0000000020","2017-04-27","K4","2017004","","100000037","EMEA","USD",213776.99,190024.00,23752.99,"","","C"
"0500000947","0000000027","2017-04-26","0000000027","2017-04-27","K4","2017004","","100000023","APJ","USD",14837.62,13189.00,1648.62,"","","C"
"0500000948","0000000024","2017-04-27","0000000024","2017-04-28","K4","2017004","","100000021","APJ","USD",95077.12,84513.00,10564.12,"","","C"
"0500000949","0000000010","2017-04-28","0000000010","2017-04-29","K4","2017004","","100000030","AMER","USD",102693.37,91283.00,11410.37,"","","P"
"0500000950","0000000018","2017-04-28","0000000018","2017-04-30","K4","2017004","","100000039","EMEA","USD",18780.74,16694.00,2086.74,"","","C"
"0500000951","0000000023","2017-04-29","0000000023","2017-04-30","K4","2017004","","100000026","EMEA","USD",122275.12,108689.00,13586.12,"","","C"
"0500000952","0000000004","2017-04-30","0000000004","2017-05-02","K4","2017004","","100000019","APJ","USD",137607.73,122318.00,15289.73,"","","X"
"0500000953","0000000013","2017-05-01","0000000013","2017-05-02","K4","2017005","","100000034","AMER","USD",84408.74,75030.00,9378.74,"","","P"
"0500000954","0000000023","2017-05-02","0000000023","2017-05-05","K4","2017005","","100000013","EMEA","USD",8089.87,7191.00,898.87,"","","C"
"0500000955","0000000009","2017-05-02","0000000009","2017-05-05","K4","2017005","","100000004","AMER","USD",31476.37,27979.00,3497.37,"","","C"
"0500000956","0000000025","2017-05-03","0000000025","2017-05-04","K4","2017005","","100000020","APJ","USD",130660.86,116143.00,14517.86,"","","C"
"0500000957","0000000021","2017-05-03","0000000021","2017-05-04","K4","2017005","","100000005","EMEA","USD",234431.99,208384.00,26047.99,"","","C"
"0500000958","0000000022","2017-05-03","0000000022","2017-05-06","K4","2017005","","100000014","EMEA","USD",143654.62,127693.00,15961.62,"","","C"
"0500000959","0000000019","2017-05-04","0000000019","2017-05-05","K4","2017005","","100000025","EMEA","USD",89097.75,79198.00,9899.75,"","","C"
"0500000960","0000000024","2017-05-05","0000000024","2017-05-06","K4","2017005","","100000020","APJ","USD",55296.00,49152.00,6144.00,"","","C"
"0500000961","0000000007","2017-05-06","0000000007","2017-05-07","K4","2017005","","100000032","AMER","USD",41604.74,36982.00,4622.74,"","","C"
"0500000962","0000000009","2017-05-06","0000000009","2017-05-07","K4","2017005","","100000001","AMER","USD",75552.74,67158.00,8394.74,"","","C"
"0500000963","0000000021","2017-05-07","0000000021","2017-05-08","K4","2017005","","100000006","EMEA","USD",132610.48,117876.00,14734.48,"","","C"
"0500000964","0000000010","2017-05-08","0000000010","2017-05-10","K4","2017005","","100000003","AMER","USD",51370.85,45663.00,5707.85,"","","C"
"0500000965","0000000015","2017-05-08","0000000015","2017-05-10","K4","2017005","","100000026","EMEA","USD",132614.98,117880.00,14734.98,"","","P"
"0500000966","0000000023","2017-05-08","0000000023","2017-05-09","K4","2017005","","100000013","EMEA","USD",78269.62,69573.00,8696.62,"","","C"
"0500000967","0000000024","2017-05-09","0000000024","2017-05-11","K4","2017005","","100000020","APJ","USD",57304.12,50937.00,6367.12,"","","C"
"0500000968","0000000019","2017-05-09","0000000019","2017-05-12","K4","2017005","","100000026","EMEA","USD",96553.11,85825.00,10728.11,"","","C"
"0500000969","0000000025","2017-05-09","0000000025","2017-05-12","K4","2017005","","100000015","APJ","USD",93457.11,83073.00,10384.11,"","","C"
"0500000970","0000000025","2017-05-09","0000000025","2017-05-12","K4","2017005","","100000015","APJ","USD",9366.74,8326.00,1040.74,"","","C"
"0500000971","0000000021","2017-05-10","0000000021","2017-05-13","K4","2017005","","100000007","EMEA","USD",70202.25,62402.00,7800.25,"","","C"
"0500000972","0000000022","2017-05-10","0000000022","2017-05-13","K4","2017005","","100000029","EMEA","USD",32845.50,29196.00,3649.50,"","","C"
"0500000973","0000000025","2017-05-10","0000000025","2017-05-11","K4","2017005","","100000018","APJ","USD",119378.23,106114.00,13264.23,"","","C"
"0500000974","0000000025","2017-05-11","0000000025","2017-05-14","K4","2017005","","100000015","APJ","USD",67692.37,60171.00,7521.37,"","","C"
"0500000975","0000000015","2017-05-11","0000000015","2017-05-12","K4","2017005","","100000012","EMEA","USD",32691.36,29059.00,3632.36,"","","C"
"0500000976","0000000019","2017-05-11","0000000019","2017-05-14","K4","2017005","","100000013","EMEA","USD",37268.98,33128.00,4140.98,"","","C"
"0500000977","0000000003","2017-05-11","0000000003","2017-05-12","K4","2017005","","100000027","EMEA","USD",164041.87,145815.00,18226.87,"","","C"
"0500000978","0000000003","2017-05-11","0000000003","2017-05-13","K4","2017005","","100000012","EMEA","USD",6806.25,6050.00,756.25,"","","C"
"0500000979","0000000025","2017-05-12","0000000025","2017-05-14","K4","2017005","","100000023","APJ","USD",137433.36,122163.00,15270.36,"","","C"
"0500000980","0000000025","2017-05-13","0000000025","2017-05-16","K4","2017005","","100000023","APJ","USD",25559.99,22720.00,2839.99,"","","C"
"0500000981","0000000020","2017-05-13","0000000020","2017-05-15","K4","2017005","","100000008","EMEA","USD",105151.49,93468.00,11683.49,"","","C"
"0500000982","0000000003","2017-05-14","0000000003","2017-05-15","K4","2017005","","100000012","EMEA","USD",144109.11,128097.00,16012.11,"","","P"
"0500000983","0000000027","2017-05-14","0000000027","2017-05-16","K4","2017005","","100000024","APJ","USD",162494.99,144440.00,18054.99,"","","C"
"0500000984","0000000021","2017-05-15","0000000021","2017-05-17","K4","2017005","","100000010","EMEA","USD",102098.23,90754.00,11344.23,"","","X"
"0500000985","0000000012","2017-05-16","0000000012","2017-05-17","K4","2017005","","100000033","AMER","USD",113585.61,100965.00,12620.61,"","","C"
"0500000986","0000000018","2017-05-17","0000000018","2017-05-19","K4","2017005","","100000009","EMEA","USD",10118.25,8994.00,1124.25,"","","C"
"0500000987","0000000024","2017-05-17","0000000024","2017-05-19","K4","2017005","","100000024","APJ","USD",8729.99,7760.00,969.99,"","","C"
"0500000988","0000000010","2017-05-17","0000000010","2017-05-20","K4","2017005","","100000030","AMER","USD",123605.99,109872.00,13733.99,"","","C"
"0500000989","0000000015","2017-05-17","0000000015","2017-05-18","K4","2017005","","100000029","EMEA","USD",12532.50,11140.00,1392.50,"","","C"
"0500000990","0000000026","2017-05-17","0000000026","2017-05-19","K4","2017005","","100000019","APJ","USD",19795.50,17596.00,2199.50,"","","C"
"0500000991","0000000026","2017-05-18","0000000026","2017-05-21","K4","2017005","","100000020","APJ","USD",12926.24,11490.00,1436.24,"","","C"
"0500000992","0000000016","2017-05-18","0000000016","2017-05-20","K4","2017005","","100000010","EMEA","USD",71519.62,63573.00,7946.62,"","","C"
"0500000993","0000000017","2017-05-19","0000000017","2017-05-22","K4","2017005","","100000010","EMEA","USD",155941.86,138615.00,17326.86,"","","C"
"0500000994","0000000026","2017-05-20","0000000026","2017-05-21","K4","2017005","","100000024","APJ","USD",39136.49,34788.00,4348.49,"","","C"
"0500000995","0000000016","2017-05-21","0000000016","2017-05-23","K4","2017005","","100000036","EMEA","USD",71509.48,63564.00,7945.48,"","","C"
"0500000996","0000000012","2017-05-21","0000000012","2017-05-23","K4","2017005","","100000000","AMER","USD",76477.49,67980.00,8497.49,"","","C"
"0500000997","0000000009","2017-05-21","0000000009","2017-05-22","K4","2017005","","100000000","AMER","USD",9551.25,8490.00,1061.25,"","","C"
"0500000998","0000000022","2017-05-22","0000000022","2017-05-24","K4","2017005","","100000028","EMEA","USD",63794.23,56706.00,7088.23,"","","C"
"0500000999","0000000027","2017-05-22","0000000027","2017-05-25","K4","2017005","","100000020","APJ","USD",83372.62,74109.00,9263.62,"","","C"
"0500001000","0000000012","2017-05-23","0000000012","2017-05-26","K4","2017005","","100000030","AMER","USD",49069.11,43617.00,5452.11,"","","C"
"0500001001","0000000019","2017-05-24","0000000019","2017-05-25","K4","2017005","","100000039","EMEA","USD",2022.75,1798.00,224.75,"","","C"
"0500001002","0000000018","2017-05-24","0000000018","2017-05-26","K4","2017005","","100000035","EMEA","USD",105036.75,93366.00,11670.75,"","","C"
"0500001003","0000000018","2017-05-24","0000000018","2017-05-26","K4","2017005","","100000028","EMEA","USD",20455.86,18183.00,2272.86,"","","C"
"0500001004","0000000010","2017-05-24","0000000010","2017-05-27","K4","2017005","","100000033","AMER","USD",40413.37,35923.00,4490.37,"","","C"
"0500001005","0000000026","2017-05-25","0000000026","2017-05-27","K4","2017005","","100000021","APJ","USD",29906.99,26584.00,3322.99,"","","C"
"0500001006","0000000013","2017-05-26","0000000013","2017-05-29","K4","2017005","","100000034","AMER","USD",92105.99,81872.00,10233.99,"","","C"
"0500001007","0000000027","2017-05-27","0000000027","2017-05-28","K4","2017005","","100000021","APJ","USD",22368.37,19883.00,2485.37,"","","C"
"0500001008","0000000022","2017-05-28","0000000022","2017-05-31","K4","2017005","","100000010","EMEA","USD",34413.74,30590.00,3823.74,"","","C"
"0500001009","0000000016","2017-05-28","0000000016","2017-05-31","K4","2017005","","100000026","EMEA","USD",222280.86,197583.00,24697.86,"","","C"
"0500001010","0000000027","2017-05-29","0000000027","2017-05-30","K4","2017005","","100000020","APJ","USD",41378.62,36781.00,4597.62,"","","C"
"0500001011","0000000023","2017-05-30","0000000023","2017-05-31","K4","2017005","","100000005","EMEA","USD",100640.24,89458.00,11182.24,"","","C"
"0500001012","0000000007","2017-05-30","0000000007","2017-05-31","K4","2017005","","100000032","AMER","USD",47860.85,42543.00,5317.85,"","","C"
"0500001013","0000000024","2017-05-30","0000000024","2017-06-02","K4","2017005","","100000023","APJ","USD",45689.61,40613.00,5076.61,"","","C"
"0500001014","0000000004","2017-05-30","0000000004","2017-05-31","K4","2017005","","100000017","APJ","USD",8437.50,7500.00,937.50,"","","C"
"0500001015","0000000016","2017-05-30","0000000016","2017-05-31","K4","2017005","","100000006","EMEA","USD",134639.99,119680.00,14959.99,"","","C"
"0500001016","0000000019","2017-05-30","0000000019","2017-05-31","K4","2017005","","100000036","EMEA","USD",8427.37,7491.00,936.37,"","","C"
"0500001017","0000000022","2017-05-31","0000000022","2017-06-02","K4","2017005","","100000008","EMEA","USD",93748.48,83332.00,10416.48,"","","C"
"0500001018","0000000007","2017-06-01","0000000007","2017-06-02","K4","2017006","","100000002","AMER","USD",2953.12,2625.00,328.12,"","","C"
"0500001019","0000000023","2017-06-02","0000000023","2017-06-03","K4","2017006","","100000027","EMEA","USD",76896.00,68352.00,8544.00,"","","C"
"0500001020","0000000012","2017-06-03","0000000012","2017-06-04","K4","2017006","","100000000","AMER","USD",1681.87,1495.00,186.87,"","","C"
"0500001021","0000000015","2017-06-03","0000000015","2017-06-05","K4","2017006","","100000012","EMEA","USD",125670.37,111707.00,13963.37,"","","C"
"0500001022","0000000013","2017-06-03","0000000013","2017-06-05","K4","2017006","","100000001","AMER","USD",11865.37,10547.00,1318.37,"","","C"
"0500001023","0000000022","2017-06-04","0000000022","2017-06-06","K4","2017006","","100000005","EMEA","USD",94358.23,83874.00,10484.23,"","","C"
"0500001024","0000000011","2017-06-04","0000000011","2017-06-07","K4","2017006","","100000004","AMER","USD",44616.37,39659.00,4957.37,"","","C"
"0500001025","0000000016","2017-06-05","0000000016","2017-06-08","K4","2017006","","100000011","EMEA","USD",39369.37,34995.00,4374.37,"","","C"
"0500001026","0000000020","2017-06-05","0000000020","2017-06-06","K4","2017006","","100000012","EMEA","USD",2871.00,2552.00,319.00,"","","C"
"0500001027","0000000017","2017-06-06","0000000017","2017-06-09","K4","2017006","","100000039","EMEA","USD",9325.12,8289.00,1036.12,"","","C"
"0500001028","0000000004","2017-06-06","0000000004","2017-06-07","K4","2017006","","100000023","APJ","USD",115131.37,102339.00,12792.37,"","","C"
"0500001029","0000000023","2017-06-06","0000000023","2017-06-08","K4","2017006","","100000012","EMEA","USD",49853.22,44314.00,5539.22,"","","C"
"0500001030","0000000014","2017-06-06","0000000014","2017-06-07","K4","2017006","","100000030","AMER","USD",51645.37,45907.00,5738.37,"","","C"
"0500001031","0000000024","2017-06-07","0000000024","2017-06-09","K4","2017006","","100000023","APJ","USD",101002.49,89780.00,11222.49,"","","C"
"0500001032","0000000004","2017-06-07","0000000004","2017-06-08","K4","2017006","","100000023","APJ","USD",203672.24,181042.00,22630.24,"","","C"
"0500001033","0000000017","2017-06-08","0000000017","2017-06-10","K4","2017006","","100000037","EMEA","USD",169314.74,150502.00,18812.74,"","","C"
"0500001034","0000000003","2017-06-09","0000000003","2017-06-10","K4","2017006","","100000028","EMEA","USD",16100.99,14312.00,1788.99,"","","C"
"0500001035","0000000006","2017-06-09","0000000006","2017-06-12","K4","2017006","","100000028","EMEA","USD",121413.37,107923.00,13490.37,"","","C"
"0500001036","0000000011","2017-06-10","0000000011","2017-06-13","K4","2017006","","100000004","AMER","USD",37800.00,33600.00,4200.00,"","","C"
"0500001037","0000000014","2017-06-10","0000000014","2017-06-12","K4","2017006","","100000003","AMER","USD",44922.35,39931.00,4991.35,"","","C"
"0500001038","0000000027","2017-06-11","0000000027","2017-06-13","K4","2017006","","100000019","APJ","USD",24276.36,21579.00,2697.36,"","","C"
"0500001039","0000000014","2017-06-12","0000000014","2017-06-15","K4","2017006","","100000000","AMER","USD",8032.50,7140.00,892.50,"","","C"
"0500001040","0000000014","2017-06-12","0000000014","2017-06-14","K4","2017006","","100000004","AMER","USD",104273.99,92688.00,11585.99,"","","C"
"0500001041","0000000004","2017-06-13","0000000004","2017-06-16","K4","2017006","","100000018","APJ","USD",116614.11,103657.00,12957.11,"","","C"
"0500001042","0000000006","2017-06-13","0000000006","2017-06-14","K4","2017006","","100000007","EMEA","USD",125718.73,111750.00,13968.73,"","","C"
"0500001043","0000000007","2017-06-13","0000000007","2017-06-14","K4","2017006","","100000000","AMER","USD",11208.37,9963.00,1245.37,"","","C"
"0500001044","0000000016","2017-06-13","0000000016","2017-06-15","K4","2017006","","100000038","EMEA","USD",14033.23,12474.00,1559.23,"","","C"
"0500001045","0000000007","2017-06-13","0000000007","2017-06-15","K4","2017006","","100000032","AMER","USD",66349.12,58977.00,7372.12,"","","C"
"0500001046","0000000003","2017-06-14","0000000003","2017-06-15","K4","2017006","","100000005","EMEA","USD",108263.24,96234.00,12029.24,"","","C"
"0500001047","0000000026","2017-06-15","0000000026","2017-06-17","K4","2017006","","100000024","APJ","USD",1680.75,1494.00,186.75,"","","X"
"0500001048","0000000018","2017-06-15","0000000018","2017-06-17","K4","2017006","","100000028","EMEA","USD",47292.74,42038.00,5254.74,"","","C"
"0500001049","0000000007","2017-06-16","0000000007","2017-06-19","K4","2017006","","100000002","AMER","USD",14837.62,13189.00,1648.62,"","","C"
"0500001050","0000000026","2017-06-17","0000000026","2017-06-18","K4","2017006","","100000022","APJ","USD",66022.86,58687.00,7335.86,"","","C"
"0500001051","0000000017","2017-06-17","0000000017","2017-06-19","K4","2017006","","100000039","EMEA","USD",92677.49,82380.00,10297.49,"","","P"
"0500001052","0000000011","2017-06-17","0000000011","2017-06-20","K4","2017006","","100000004","AMER","USD",48909.37,43475.00,5434.37,"","","C"
"0500001053","0000000003","2017-06-17","0000000003","2017-06-18","K4","2017006","","100000007","EMEA","USD",69789.36,62035.00,7754.36,"","","P"
"0500001054","0000000013","2017-06-17","0000000013","2017-06-20","K4","2017006","","100000032","AMER","USD",21375.00,19000.00,2375.00,"","","C"
"0500001055","0000000026","2017-06-18","0000000026","2017-06-19","K4","2017006","","100000023","APJ","USD",98851.49,87868.00,10983.49,"","","C"
"0500001056","0000000027","2017-06-18","0000000027","2017-06-21","K4","2017006","","100000023","APJ","USD",44130.36,39227.00,4903.36,"","","P"
"0500001057","0000000023","2017-06-18","0000000023","2017-06-20","K4","2017006","","100000027","EMEA","USD",189382.49,168340.00,21042.49,"","","P"
"0500001058","0000000024","2017-06-19","0000000024","2017-06-20","K4","2017006","","100000021","APJ","USD",16251.75,14446.00,1805.75,"","","C"
"0500001059","0000000020","2017-06-20","0000000020","2017-06-22","K4","2017006","","100000014","EMEA","USD",7079.62,6293.00,786.62,"","","C"
"0500001060","0000000023","2017-06-20","0000000023","2017-06-22","K4","2017006","","100000005","EMEA","USD",225136.12,200121.00,25015.12,"","","C"
"0500001061","0000000003","2017-06-21","0000000003","2017-06-24","K4","2017006","","100000036","EMEA","USD",75967.86,67527.00,8440.86,"","","C"
"0500001062","0000000023","2017-06-21","0000000023","2017-06-22","K4","2017006","","100000028","EMEA","USD",42847.85,38087.00,4760.85,"","","P"
"0500001063","0000000022","2017-06-21","0000000022","2017-06-24","K4","2017006","","100000012","EMEA","USD",27216.00,24192.00,3024.00,"","","C"
"0500001064","0000000017","2017-06-21","0000000017","2017-06-24","K4","2017006","","100000036","EMEA","USD",60062.62,53389.00,6673.62,"","","C"
"0500001065","0000000011","2017-06-21","0000000011","2017-06-22","K4","2017006","","100000001","AMER","USD",103499.97,92000.00,11499.97,"","","C"
"0500001066","0000000004","2017-06-22","0000000004","2017-06-25","K4","2017006","","100000023","APJ","USD",161440.85,143503.00,17937.85,"","","C"
"0500001067","0000000025","2017-06-23","0000000025","2017-06-26","K4","2017006","","100000023","APJ","USD",64430.99,57272.00,7158.99,"","","C"
"0500001068","0000000022","2017-06-23","0000000022","2017-06-25","K4","2017006","","100000013","EMEA","USD",13254.74,11782.00,1472.74,"","","C"
"0500001069","0000000009","2017-06-23","0000000009","2017-06-25","K4","2017006","","100000031","AMER","USD",71170.85,63263.00,7907.85,"","","C"
"0500001070","0000000020","2017-06-23","0000000020","2017-06-25","K4","2017006","","100000008","EMEA","USD",90758.25,80674.00,10084.25,"","","C"
"0500001071","0000000013","2017-06-24","0000000013","2017-06-25","K4","2017006","","100000030","AMER","USD",174160.12,154809.00,19351.12,"","","C"
"0500001072","0000000004","2017-06-24","0000000004","2017-06-25","K4","2017006","","100000024","APJ","USD",59059.10,52497.00,6562.10,"","","C"
"0500001073","0000000021","2017-06-24","0000000021","2017-06-26","K4","2017006","","100000025","EMEA","USD",62043.74,55150.00,6893.74,"","","C"
"0500001074","0000000017","2017-06-24","0000000017","2017-06-26","K4","2017006","","100000007","EMEA","USD",96853.49,86092.00,10761.49,"","","C"
"0500001075","0000000006","2017-06-24","0000000006","2017-06-27","K4","2017006","","100000010","EMEA","USD",65984.62,58653.00,7331.62,"","","C"
"0500001076","0000000004","2017-06-24","0000000004","2017-06-25","K4","2017006","","100000021","APJ","USD",12200.62,10845.00,1355.62,"","","C"
"0500001077","0000000014","2017-06-24","0000000014","2017-06-25","K4","2017006","","100000030","AMER","USD",88592.61,78749.00,9843.61,"","","C"
"0500001078","0000000018","2017-06-24","0000000018","2017-06-25","K4","2017006","","100000014","EMEA","USD",35789.61,31813.00,3976.61,"","","C"
"0500001079","0000000027","2017-06-25","0000000027","2017-06-28","K4","2017006","","100000019","APJ","USD",26493.75,23550.00,2943.75,"","","C"
"0500001080","0000000019","2017-06-26","0000000019","2017-06-27","K4","2017006","","100000035","EMEA","USD",42414.75,37702.00,4712.75,"","","C"
"0500001081","0000000019","2017-06-26","0000000019","2017-06-29","K4","2017006","","100000026","EMEA","USD",124759.10,110897.00,13862.10,"","","C"
"0500001082","0000000007","2017-06-26","0000000007","2017-06-28","K4","2017006","","100000031","AMER","USD",42275.25,37578.00,4697.25,"","","C"
"0500001083","0000000017","2017-06-27","0000000017","2017-06-29","K4","2017006","","100000012","EMEA","USD",39983.62,35541.00,4442.62,"","","C"
"0500001084","0000000010","2017-06-28","0000000010","2017-07-01","K4","2017006","","100000033","AMER","USD",112422.36,99931.00,12491.36,"","","C"
"0500001085","0000000004","2017-06-28","0000000004","2017-06-29","K4","2017006","","100000024","APJ","USD",39192.74,34838.00,4354.74,"","","C"
"0500001086","0000000025","2017-06-28","0000000025","2017-06-29","K4","2017006","","100000019","APJ","USD",197275.49,175356.00,21919.49,"","","C"
"0500001087","0000000019","2017-06-29","0000000019","2017-07-02","K4","2017006","","100000008","EMEA","USD",30927.37,27491.00,3436.37,"","","C"
"0500001088","0000000027","2017-06-30","0000000027","2017-07-01","K4","2017006","","100000015","APJ","USD",266626.10,237001.00,29625.10,"","","C"
"0500001089","0000000027","2017-07-01","0000000027","2017-07-03","K4","2017007","","100000017","APJ","USD",168145.86,149463.00,18682.86,"","","C"
"0500001090","0000000025","2017-07-02","0000000025","2017-07-03","K4","2017007","","100000021","APJ","USD",2558.25,2274.00,284.25,"","","C"
"0500001091","0000000018","2017-07-02","0000000018","2017-07-04","K4","2017007","","100000010","EMEA","USD",152809.87,135831.00,16978.87,"","","C"
"0500001092","0000000022","2017-07-02","0000000022","2017-07-05","K4","2017007","","100000039","EMEA","USD",85189.47,75724.00,9465.47,"","","C"
"0500001093","0000000011","2017-07-03","0000000011","2017-07-04","K4","2017007","","100000033","AMER","USD",109981.11,97761.00,12220.11,"","","C"
"0500001094","0000000004","2017-07-03","0000000004","2017-07-06","K4","2017007","","100000023","APJ","USD",117742.49,104660.00,13082.49,"","","C"
"0500001095","0000000003","2017-07-03","0000000003","2017-07-04","K4","2017007","","100000013","EMEA","USD",69639.75,61902.00,7737.75,"","","C"
"0500001096","0000000027","2017-07-04","0000000027","2017-07-07","K4","2017007","","100000021","APJ","USD",8089.87,7191.00,898.87,"","","C"
"0500001097","0000000015","2017-07-04","0000000015","2017-07-06","K4","2017007","","100000036","EMEA","USD",40145.61,35685.00,4460.61,"","","C"
"0500001098","0000000023","2017-07-04","0000000023","2017-07-05","K4","2017007","","100000038","EMEA","USD",28074.35,24955.00,3119.35,"","","C"
"0500001099","0000000016","2017-07-04","0000000016","2017-07-05","K4","2017007","","100000029","EMEA","USD",175793.62,156261.00,19532.62,"","","C"
"0500001100","0000000016","2017-07-05","0000000016","2017-07-07","K4","2017007","","100000005","EMEA","USD",132661.12,117921.00,14740.12,"","","C"
"0500001101","0000000023","2017-07-05","0000000023","2017-07-08","K4","2017007","","100000013","EMEA","USD",35562.36,31611.00,3951.36,"","","C"
"0500001102","0000000009","2017-07-06","0000000009","2017-07-09","K4","2017007","","100000032","AMER","USD",129238.86,114879.00,14359.86,"","","C"
"0500001103","0000000009","2017-07-07","0000000009","2017-07-09","K4","2017007","","100000034","AMER","USD",92525.60,82245.00,10280.60,"","","C"
"0500001104","0000000017","2017-07-08","0000000017","2017-07-11","K4","2017007","","100000010","EMEA","USD",52273.11,46465.00,5808.11,"","","C"
"0500001105","0000000003","2017-07-08","0000000003","2017-07-10","K4","2017007","","100000028","EMEA","USD",169820.98,150952.00,18868.98,"","","C"
"0500001106","0000000023","2017-07-09","0000000023","2017-07-12","K4","2017007","","100000008","EMEA","USD",15177.37,13491.00,1686.37,"","","C"
"0500001107","0000000025","2017-07-09","0000000025","2017-07-11","K4","2017007","","100000019","APJ","USD",102665.23,91258.00,11407.23,"","","X"
"0500001108","0000000004","2017-07-10","0000000004","2017-07-12","K4","2017007","","100000015","APJ","USD",36823.49,32732.00,4091.49,"","","P"
"0500001109","0000000003","2017-07-10","0000000003","2017-07-12","K4","2017007","","100000029","EMEA","USD",127970.98,113752.00,14218.98,"","","C"
"0500001110","0000000003","2017-07-11","0000000003","2017-07-14","K4","2017007","","100000012","EMEA","USD",190108.12,168985.00,21123.12,"","","C"
"0500001111","0000000003","2017-07-12","0000000003","2017-07-15","K4","2017007","","100000006","EMEA","USD",6750.00,6000.00,750.00,"","","C"
