"PIPELINEID","STATUS","PARTNERID","COMMIT","PROBABLE","UPSIDE","SALESORDER","EXPECTEDCLOSINGDATE","PRODUCTID","CREATEDBY","CREATEDAT"
"0400000283",3,"100000039",0,0,108900,,"2021-06-07","BX-1012","0000000023","2020-03-09"
"0400000284",1,"100000016",591220,717910,422300,,"2021-06-05","CC-1022","0000000015","2020-08-27"
"0400000285",2,"100000001",0,66300,66300,,"2021-04-28","MB-1031","0000000003","2020-06-15"
"0400000286",2,"100000026",237690,0,125100,,"2021-02-18","BX-1013","0000000026","2020-01-02"
"0400000287",5,"100000014",399360,449280,249600,,"2020-05-14","BX-1011","0000000007","2020-04-23"
"0400000288",2,"100000005",283150,0,404500,,"2021-05-07","CB-1161","0000000017","2020-04-18"
"0400000289",3,"100000018",429000,0,286000,,"2021-01-13","RO-1002","0000000012","2020-09-09"
"0400000290",1,"100000023",0,0,74900,,"2022-08-07","RC-1056","0000000013","2020-05-16"
"0400000291",3,"100000038",0,0,342100,,"2021-04-10","MB-1034","0000000011","2020-06-22"
"0400000292",3,"100000007",0,529230,407100,,"2021-07-12","DB-1081","0000000007","2020-06-27"
"0400000293",4,"100000032",133360,0,166700,,"2020-04-17","EB-1134","0000000003","2020-03-15"
"0400000294",3,"100000013",530860,0,482600,,"2021-04-17","HB-1175","0000000020","2020-05-19"
"0400000295",2,"100000001",0,0,434600,,"2021-06-05","RC-1054","0000000003","2020-07-22"
"0400000296",1,"100000036",0,281760,176100,,"2021-04-26","EB-1131","0000000007","2020-08-11"
"0400000297",1,"100000034",236320,147700,147700,,"2020-12-30","CC-1021","0000000019","2020-01-23"
"0400000298",1,"100000008",0,0,88700,,"2021-12-03","RO-1003","0000000024","2020-04-01"
"0400000299",1,"100000030",0,0,370700,,"2020-11-20","MB-1033","0000000026","2020-02-07"
"0400000300",3,"100000016",332000,166000,207500,,"2022-04-30","EB-1133","0000000020","2020-04-07"
"0400000301",3,"100000007",457820,749160,416200,,"2021-01-11","DB-1081","0000000020","2020-08-14"
"0400000302",3,"100000033",0,0,474400,,"2021-01-24","RO-1003","0000000015","2020-02-04"
"0400000303",4,"100000031",226440,0,188700,,"2020-02-06","CB-1163","0000000017","2019-06-10"
"0400000304",1,"100000016",112640,211200,140800,,"2022-04-04","CB-1162","0000000003","2020-08-18"
"0400000305",5,"100000024",500040,333360,416700,,"2020-01-11","EB-1131","0000000027","2019-10-19"
"0400000306",2,"100000014",465500,0,245000,,"2021-09-28","CB-1161","0000000019","2020-01-25"
"0400000307",3,"100000036",0,0,270000,,"2022-02-27","BX-1016","0000000010","2020-01-11"
"0400000308",5,"100000028",643790,0,378700,,"2020-08-10","BX-1011","0000000016","2020-05-22"
"0400000309",5,"100000020",221850,0,246500,,"2020-05-23","BX-1013","0000000021","2020-05-13"
"0400000310",3,"100000026",0,111300,79500,,"2021-12-05","DB-1082","0000000006","2020-08-21"
"0400000311",2,"100000026",0,0,479700,,"2021-08-20","CC-1023","0000000019","2020-04-01"
"0400000312",1,"100000002",321750,263250,292500,,"2020-11-20","DB-1083","0000000015","2020-03-23"
"0400000313",1,"100000012",0,0,313900,,"2021-05-31","HB-1176","0000000021","2020-05-27"
"0400000314",2,"100000028",0,343520,180800,,"2021-08-15","RC-1053","0000000007","2020-06-01"
"0400000315",2,"100000033",346500,420750,247500,,"2021-11-25","EB-1136","0000000017","2020-08-01"
"0400000316",2,"100000009",209340,81410,116300,,"2021-05-14","BX-1016","0000000026","2020-01-07"
"0400000317",1,"100000007",0,0,198500,,"2021-12-17","BX-1014","0000000009","2020-06-25"
"0400000318",1,"100000016",173340,0,96300,,"2022-07-31","DB-1083","0000000027","2020-02-20"
"0400000319",1,"100000015",0,0,343500,,"2022-06-25","HB-1176","0000000026","2020-02-14"
"0400000320",5,"100000002",536180,536180,282200,,"2020-07-14","BX-1011","0000000024","2020-02-04"
"0400000321",2,"100000010",0,454300,454300,,"2021-04-19","RC-1053","0000000011","2020-05-13"
"0400000322",5,"100000026",144720,160800,160800,,"2020-03-08","RC-1055","0000000025","2020-01-13"
"0400000323",2,"100000023",0,107400,107400,,"2021-04-14","EB-1133","0000000019","2020-02-17"
"0400000324",2,"100000000",0,0,242700,,"2022-02-09","BX-1012","0000000003","2020-07-08"
"0400000325",1,"100000033",0,324740,249800,,"2022-07-09","CC-1022","0000000025","2020-01-19"
"0400000326",4,"100000017",291750,272300,194500,,"2020-01-23","BX-1014","0000000010","2019-11-09"
"0400000327",5,"100000010",484120,0,372400,,"2020-05-05","CC-1022","0000000019","2019-10-02"
"0400000328",2,"100000004",0,0,66800,,"2020-11-25","BX-1016","0000000014","2020-07-20"
"0400000329",2,"100000019",0,0,480300,,"2021-04-16","DB-1083","0000000007","2020-01-30"
"0400000330",3,"100000004",0,0,83500,,"2021-02-21","MB-1034","0000000010","2020-08-29"
"0400000331",1,"100000018",351120,0,184800,,"2022-06-13","EB-1137","0000000003","2020-08-21"
"0400000332",1,"100000039",0,152160,95100,,"2022-02-06","CC-1022","0000000016","2020-07-17"
"0400000333",1,"100000002",775010,611850,407900,,"2021-11-26","HB-1176","0000000023","2020-01-19"
"0400000334",3,"100000036",0,0,349100,,"2021-05-19","CC-1023","0000000022","2020-05-05"
"0400000335",2,"100000017",0,71470,102100,,"2022-07-16","BX-1011","0000000003","2020-02-11"
"0400000336",3,"100000000",0,340200,378000,,"2021-05-24","EB-1134","0000000007","2020-05-19"
"0400000337",1,"100000003",0,0,69500,,"2021-04-08","HB-1172","0000000013","2020-04-10"
"0400000338",2,"100000007",271980,0,151100,,"2021-06-17","HB-1173","0000000015","2020-04-16"
"0400000339",5,"100000027",101120,0,63200,,"2020-05-15","CB-1163","0000000011","2020-03-09"
"0400000340",5,"100000012",384300,0,213500,,"2020-03-18","EB-1131","0000000022","2019-07-23"
"0400000341",2,"100000038",401130,401130,445700,,"2021-11-19","EB-1137","0000000023","2020-02-27"
"0400000342",5,"100000007",499720,0,384400,,"2020-06-05","RC-1052","0000000026","2019-10-14"
"0400000343",2,"100000010",0,0,204600,,"2021-11-03","CB-1161","0000000017","2020-06-15"
"0400000344",3,"100000030",0,475280,365600,,"2021-12-07","EB-1134","0000000017","2020-02-08"
"0400000345",2,"100000004",0,0,397700,,"2021-08-29","RC-1051","0000000009","2020-02-28"
"0400000346",3,"100000008",0,0,488800,,"2022-04-19","HB-1172","0000000015","2020-06-13"
"0400000347",1,"100000020",0,0,463500,,"2022-03-12","RC-1055","0000000018","2020-04-28"
"0400000348",1,"100000018",0,0,146100,,"2022-01-16","DB-1083","0000000018","2020-07-09"
"0400000349",4,"100000012",334350,0,222900,,"2020-01-08","BX-1014","0000000014","2019-07-29"
"0400000350",5,"100000025",240300,0,267000,,"2020-02-20","HB-1173","0000000027","2019-10-21"
"0400000351",4,"100000011",425370,0,386700,,"2020-06-21","CC-1023","0000000009","2020-01-31"
"0400000352",5,"100000022",405150,0,270100,,"2020-04-12","BX-1015","0000000022","2019-09-26"
"0400000353",1,"100000004",198000,247500,165000,,"2020-10-07","RO-1003","0000000013","2020-05-17"
"0400000354",1,"100000021",454300,0,324500,,"2022-09-02","RO-1002","0000000025","2020-07-19"
"0400000355",3,"100000005",656480,369270,410300,,"2021-07-11","BX-1013","0000000024","2020-04-02"
"0400000356",2,"100000031",0,721800,401000,,"2022-07-19","HB-1173","0000000019","2020-03-31"
"0400000357",1,"100000002",0,117700,117700,,"2020-09-29","MB-1033","0000000012","2020-01-28"
"0400000358",2,"100000022",475920,185080,264400,,"2021-10-19","RO-1002","0000000010","2020-04-30"
"0400000359",3,"100000032",0,98450,89500,,"2022-06-21","EB-1137","0000000012","2020-02-24"
"0400000360",3,"100000025",0,0,220400,,"2021-12-18","CC-1022","0000000025","2020-03-16"
"0400000361",2,"100000037",0,0,422700,,"2021-09-12","EB-1135","0000000027","2020-06-05"
"0400000362",2,"100000029",826120,0,434800,,"2020-12-01","HB-1174","0000000020","2020-01-07"
"0400000363",5,"100000024",706690,0,415700,,"2020-04-20","HB-1171","0000000013","2020-02-18"
"0400000364",2,"100000007",0,74250,67500,,"2020-10-11","MB-1033","0000000020","2020-04-23"
"0400000365",1,"100000006",0,0,206100,,"2022-01-22","EB-1132","0000000015","2020-01-06"
"0400000366",4,"100000005",292050,0,265500,,"2020-07-31","BX-1016","0000000003","2020-05-27"
"0400000367",1,"100000023",579150,0,445500,,"2022-07-17","MB-1032","0000000007","2020-06-12"
"0400000368",3,"100000015",239850,0,159900,,"2021-05-27","BX-1012","0000000007","2020-08-17"
"0400000369",1,"100000009",601300,0,429500,,"2021-12-08","CB-1163","0000000009","2020-09-07"
"0400000370",1,"100000002",61650,0,68500,,"2021-06-30","RC-1052","0000000014","2020-01-19"
"0400000371",5,"100000027",285500,0,285500,,"2020-02-11","CC-1023","0000000025","2019-11-17"
"0400000372",1,"100000011",334360,0,257200,,"2021-10-27","EB-1136","0000000010","2020-06-29"
"0400000373",2,"100000031",0,643300,459500,,"2021-01-17","HB-1173","0000000027","2020-08-13"
"0400000374",3,"100000007",0,230400,230400,,"2020-12-08","MB-1034","0000000021","2020-07-21"
"0400000375",2,"100000006",0,0,304100,,"2022-05-18","HB-1173","0000000022","2020-07-23"
"0400000376",2,"100000031",243800,0,243800,,"2021-03-27","MB-1031","0000000015","2020-03-16"
"0400000377",1,"100000034",220320,0,244800,,"2021-07-14","BX-1016","0000000015","2020-08-02"
"0400000378",3,"100000008",0,295050,421500,,"2022-04-02","MB-1034","0000000027","2020-05-16"
"0400000379",2,"100000006",0,0,408900,,"2021-12-12","RC-1055","0000000012","2020-07-17"
"0400000380",1,"100000000",111930,175890,159900,,"2021-08-18","HB-1171","0000000022","2020-04-26"
"0400000381",3,"100000006",0,311080,222200,,"2021-10-04","RC-1057","0000000020","2020-04-13"
"0400000382",1,"100000008",0,0,362400,,"2021-09-05","HB-1172","0000000013","2020-06-30"
"0400000383",3,"100000012",0,0,311800,,"2022-01-25","RC-1055","0000000026","2020-04-19"
"0400000384",4,"100000025",652350,391410,434900,,"2020-01-28","RO-1003","0000000018","2019-12-07"
"0400000385",1,"100000009",228750,0,152500,,"2021-02-09","RC-1056","0000000023","2020-01-24"
"0400000386",1,"100000019",0,334040,477200,,"2022-02-07","RO-1002","0000000018","2020-06-08"
"0400000387",1,"100000021",0,587760,489800,,"2021-06-17","BX-1015","0000000012","2020-04-07"
"0400000388",2,"100000038",0,857470,451300,,"2020-11-19","BX-1015","0000000003","2020-02-26"
"0400000389",2,"100000016",0,289080,160600,,"2021-12-21","HB-1176","0000000011","2020-03-22"
"0400000390",5,"100000021",280000,300000,200000,,"2020-04-21","HB-1173","0000000015","2019-07-29"
"0400000391",2,"100000021",0,349910,318100,,"2021-11-10","CC-1023","0000000023","2020-01-30"
"0400000392",1,"100000025",405090,495110,450100,,"2022-05-22","RC-1052","0000000014","2020-06-02"
"0400000393",2,"100000024",290080,621600,414400,,"2022-09-03","EB-1135","0000000015","2020-01-09"
"0400000394",1,"100000023",210630,161070,123900,,"2021-06-08","CB-1161","0000000010","2020-06-22"
"0400000395",2,"100000001",348840,0,290700,,"2021-10-10","CB-1162","0000000019","2020-07-07"
"0400000396",1,"100000034",0,373200,373200,,"2021-02-20","RC-1055","0000000022","2020-08-09"
"0400000397",1,"100000031",511200,198800,284000,,"2021-10-15","BX-1013","0000000003","2020-05-14"
"0400000398",4,"100000038",489450,0,376500,,"2020-03-01","EB-1131","0000000009","2019-09-16"
"0400000399",3,"100000007",630890,485300,485300,,"2021-01-09","EB-1136","0000000015","2020-03-27"
"0400000400",3,"100000005",0,0,476700,,"2021-03-29","DB-1083","0000000007","2020-06-05"
"0400000401",4,"100000007",238420,0,183400,,"2020-04-22","CB-1162","0000000003","2019-09-07"
"0400000402",3,"100000003",0,730440,405800,,"2022-01-09","CC-1023","0000000013","2020-09-06"
"0400000403",3,"100000029",0,0,166400,,"2020-10-10","HB-1174","0000000017","2020-03-30"
"0400000404",3,"100000006",0,394060,231800,,"2021-12-28","RC-1054","0000000022","2020-07-26"
"0400000405",1,"100000021",0,772480,454400,,"2021-09-07","CB-1163","0000000025","2020-04-07"
"0400000406",4,"100000013",382620,0,273300,,"2020-03-26","EB-1132","0000000013","2019-09-30"
"0400000407",3,"100000022",0,274380,161400,,"2020-10-20","DB-1083","0000000023","2020-02-10"
"0400000408",3,"100000003",309150,0,343500,,"2021-03-13","HB-1176","0000000007","2020-01-27"
"0400000409",4,"100000005",624960,0,390600,,"2020-02-21","RC-1054","0000000023","2020-01-19"
"0400000410",5,"100000004",435710,316880,396100,,"2020-08-13","RC-1055","0000000013","2020-02-16"
"0400000411",2,"100000009",0,0,385500,,"2021-10-29","HB-1171","0000000017","2020-06-26"
"0400000412",5,"100000031",535320,535320,446100,,"2020-04-13","EB-1133","0000000012","2019-08-07"
"0400000413",3,"100000022",0,369680,462100,,"2020-12-29","RC-1055","0000000014","2020-07-22"
"0400000414",2,"100000007",0,177390,197100,,"2022-02-17","CB-1162","0000000012","2020-03-26"
"0400000415",2,"100000029",0,188520,157100,,"2022-08-06","CC-1023","0000000004","2020-08-02"
"0400000416",1,"100000039",0,599560,461200,,"2020-10-21","BX-1013","0000000011","2020-01-01"
"0400000417",3,"100000032",177120,110700,110700,,"2021-03-13","RO-1001","0000000023","2020-02-19"
"0400000418",2,"100000006",0,0,86700,,"2020-11-04","HB-1174","0000000012","2020-08-15"
"0400000419",1,"100000022",0,0,201700,,"2021-07-27","BX-1014","0000000015","2020-07-14"
"0400000420",2,"100000024",0,0,485700,,"2022-01-27","HB-1174","0000000027","2020-07-30"
"0400000421",3,"100000008",0,229360,286700,,"2021-07-21","RC-1051","0000000016","2020-04-06"
"0400000422",1,"100000011",0,126979,181400,,"2021-05-26","RC-1055","0000000012","2020-04-17"
"0400000423",3,"100000011",0,0,314800,,"2021-08-28","RO-1003","0000000014","2020-03-04"
"0400000424",2,"100000017",743040,701760,412800,,"2021-01-29","MB-1034","0000000007","2020-04-22"
"0400000425",1,"100000038",0,313500,285000,,"2021-03-14","HB-1175","0000000022","2020-06-18"
"0400000426",5,"100000038",319330,348360,290300,,"2020-07-15","RC-1056","0000000011","2020-03-09"
"0400000427",1,"100000015",410740,410740,373400,,"2021-11-12","EB-1137","0000000003","2020-04-11"
"0400000428",2,"100000039",372780,156960,196200,,"2021-09-26","BX-1011","0000000014","2020-04-28"
"0400000429",1,"100000029",297440,297440,185900,,"2021-11-28","HB-1174","0000000017","2020-01-19"
"0400000430",1,"100000033",0,0,217100,,"2022-04-24","HB-1171","0000000011","2020-02-29"
"0400000431",1,"100000031",169400,138600,154000,,"2021-04-11","BX-1015","0000000014","2020-04-04"
"0400000432",1,"100000039",0,0,111500,,"2022-02-14","EB-1134","0000000015","2020-02-17"
"0400000433",1,"100000013",0,0,120800,,"2022-03-22","RO-1003","0000000024","2020-01-20"
"0400000434",2,"100000023",305320,269400,179600,,"2021-08-21","MB-1031","0000000013","2020-04-30"
"0400000435",2,"100000031",294490,673120,420700,,"2021-07-16","HB-1172","0000000012","2020-07-28"
"0400000436",2,"100000002",0,110160,61200,,"2021-01-21","RC-1053","0000000006","2020-08-28"
"0400000437",2,"100000034",0,213290,193900,,"2021-02-25","HB-1173","0000000013","2020-06-23"
"0400000438",2,"100000034",350880,263160,219300,,"2021-10-31","EB-1132","0000000025","2020-09-10"
"0400000439",1,"100000027",0,0,102500,,"2021-06-29","EB-1137","0000000012","2020-08-29"
"0400000440",4,"100000020",735040,551280,459400,,"2020-09-12","BX-1011","0000000016","2020-01-17"
"0400000441",4,"100000016",369120,438330,230700,,"2020-08-29","BX-1011","0000000012","2020-05-31"
"0400000442",4,"100000010",499239,463580,356600,,"2020-06-18","BX-1015","0000000017","2020-06-06"
"0400000443",4,"100000026",197460,0,109700,,"2020-02-16","MB-1031","0000000024","2019-06-23"
"0400000444",4,"100000020",207600,0,138400,,"2020-01-06","MB-1032","0000000023","2019-08-06"
"0400000445",2,"100000029",0,0,436200,,"2021-03-17","EB-1135","0000000009","2020-06-09"
"0400000446",3,"100000036",0,0,69600,,"2021-03-30","BX-1012","0000000026","2020-08-05"
"0400000447",1,"100000000",466070,0,245300,,"2021-02-19","EB-1131","0000000004","2020-06-01"
"0400000448",2,"100000005",133290,148100,148100,,"2020-10-03","DB-1082","0000000022","2020-09-01"
"0400000449",1,"100000029",146400,0,122000,,"2022-08-08","CC-1023","0000000027","2020-04-30"
"0400000450",2,"100000013",0,279520,349400,,"2021-05-20","DB-1082","0000000010","2020-01-03"
"0400000451",1,"100000001",363020,233370,259300,,"2021-04-27","EB-1131","0000000007","2020-05-08"
"0400000452",1,"100000034",0,92550,61700,,"2021-01-06","HB-1174","0000000024","2020-05-13"
"0400000453",1,"100000035",0,0,256200,,"2022-05-13","EB-1132","0000000011","2020-01-18"
"0400000454",3,"100000007",0,0,269700,,"2021-04-22","DB-1081","0000000006","2020-01-03"
"0400000455",3,"100000020",0,111900,111900,,"2021-10-25","RC-1053","0000000003","2020-01-20"
"0400000456",2,"100000030",864540,0,480300,,"2020-09-26","BX-1015","0000000015","2020-01-28"
"0400000457",5,"100000027",434390,750310,394900,,"2020-06-10","EB-1131","0000000004","2020-04-09"
"0400000458",3,"100000011",0,202670,155900,,"2022-01-16","EB-1136","0000000019","2020-05-03"
"0400000459",1,"100000007",0,0,289600,,"2022-06-23","HB-1172","0000000009","2020-06-23"
"0400000460",4,"100000036",252320,0,157700,,"2020-07-01","EB-1133","0000000007","2020-05-29"
"0400000461",3,"100000027",369360,215460,307800,,"2020-12-30","EB-1134","0000000011","2020-01-14"
"0400000462",2,"100000036",681800,0,487000,,"2022-08-08","DB-1081","0000000012","2020-01-29"
"0400000463",2,"100000011",0,360140,327400,,"2021-01-26","RC-1054","0000000004","2020-06-05"
"0400000464",3,"100000001",0,223280,279100,,"2022-05-08","CC-1022","0000000007","2020-04-13"
"0400000465",1,"100000010",0,494120,449200,,"2021-07-25","EB-1136","0000000022","2020-07-14"
"0400000466",3,"100000039",0,0,220000,,"2020-12-07","DB-1083","0000000013","2020-04-22"
"0400000467",4,"100000002",740340,0,411300,,"2020-04-24","CB-1163","0000000007","2019-11-19"
"0400000468",3,"100000036",0,534420,296900,,"2021-05-21","MB-1034","0000000014","2020-02-02"
"0400000469",1,"100000030",217560,0,181300,,"2022-06-30","CC-1022","0000000018","2020-02-03"
"0400000470",1,"100000027",183750,183750,262500,,"2021-10-19","CC-1023","0000000006","2020-07-15"
"0400000471",3,"100000030",409500,0,409500,,"2022-06-20","RC-1055","0000000016","2020-06-24"
"0400000472",2,"100000024",74520,0,62100,,"2021-10-08","BX-1016","0000000012","2020-05-20"
"0400000473",3,"100000027",322880,0,201800,,"2022-04-07","CC-1022","0000000021","2020-08-16"
"0400000474",1,"100000006",473100,252320,315400,,"2021-02-02","BX-1011","0000000004","2020-06-25"
"0400000475",3,"100000034",0,334000,417500,,"2020-10-19","RC-1057","0000000025","2020-04-24"
"0400000476",2,"100000034",319930,0,246100,,"2021-02-18","HB-1175","0000000013","2020-08-10"
"0400000477",1,"100000008",216410,0,127300,,"2021-07-29","CB-1162","0000000004","2020-08-17"
"0400000478",1,"100000014",0,0,476300,,"2022-03-08","EB-1133","0000000004","2020-01-28"
"0400000479",5,"100000031",169180,0,153800,,"2020-02-01","RC-1051","0000000020","2019-09-22"
"0400000480",2,"100000004",0,0,275700,,"2022-01-11","MB-1033","0000000026","2020-07-26"
"0400000481",5,"100000004",385520,722850,481900,,"2020-04-14","MB-1031","0000000012","2019-09-11"
"0400000482",2,"100000034",209160,0,174300,,"2021-08-27","DB-1082","0000000020","2020-06-27"
"0400000483",3,"100000000",0,152670,218100,,"2021-08-07","HB-1173","0000000026","2020-01-18"
"0400000484",2,"100000030",195500,195500,115000,,"2022-06-29","EB-1132","0000000003","2020-08-06"
"0400000485",4,"100000022",189360,0,157800,,"2020-02-28","HB-1174","0000000021","2019-06-24"
"0400000486",1,"100000034",0,541120,284800,,"2020-11-24","RO-1002","0000000025","2020-04-23"
"0400000487",1,"100000030",0,0,467100,,"2021-07-07","BX-1013","0000000024","2020-03-25"
"0400000488",3,"100000009",762090,360990,401100,,"2021-08-02","BX-1014","0000000014","2020-07-17"
"0400000489",2,"100000009",0,0,328800,,"2021-10-18","CB-1163","0000000019","2020-04-23"
"0400000490",1,"100000020",0,543010,417700,,"2020-12-08","BX-1013","0000000022","2020-08-15"
"0400000491",3,"100000035",0,0,398500,,"2021-06-12","HB-1172","0000000023","2020-03-07"
"0400000492",5,"100000023",195210,238590,216900,,"2020-01-09","CB-1163","0000000007","2019-06-22"
"0400000493",3,"100000011",215840,134900,134900,,"2021-07-19","HB-1171","0000000004","2020-07-08"
"0400000494",4,"100000008",302500,0,275000,,"2020-06-01","MB-1031","0000000006","2019-11-30"
"0400000495",4,"100000001",519819,0,371300,,"2020-03-02","HB-1174","0000000026","2019-07-10"
"0400000496",2,"100000008",0,513890,395300,,"2020-11-04","RC-1056","0000000022","2020-04-30"
"0400000497",5,"100000009",91440,91440,76200,,"2020-04-06","RO-1002","0000000011","2020-02-17"
"0400000498",2,"100000010",0,502260,456600,,"2021-05-25","BX-1011","0000000003","2020-03-16"
"0400000499",3,"100000003",457500,0,457500,,"2022-07-02","EB-1136","0000000020","2020-02-24"
"0400000500",2,"100000037",0,185400,154500,,"2021-10-03","HB-1174","0000000022","2020-02-15"
